KABUPATEN;Bandeng;Nila;Belanak;Lainnya;Crustacea
JUMLAH 0 TOTAL;90514,2;19463,8;1746,4;3661;66802,8
KABUPATEN TUBAN;1039,1;27,4;0;0,6;3800
KABUPATEN LAMONGAN;738,6;127;0;75,8;2593,4
KABUPATEN GRESIK;39545,5;0;695,6;487,7;5654,6
KOTA SURABAYA;4618,7;0;0;501,3;1410,3
KABUPATEN BANGKALAN;723,8;0;400;0;1164,4
KABUPATEN SAMPANG;2140;0;418;437;1621,3
KABUPATEN PAMEKASAN;0;0;0;37,8;483,1
KABUPATEN SUMENEP;368,8;6,5;143,7;47,6;400,4
KABUPATEN SIDOARJO;34561,9;17983,1;0;1604,1;19369,5
KABUPATEN PASURUAN;4518,7;517,7;0;394,3;4408,9
KOTA PASURUAN;494,3;0;0;7,1;733,1
KABUPATEN PROBOLINGGO;1465,8;153,6;75,3;9,7;4270
KOTA PROBOLINGGO;143,6;7,5;2,7;0;48,6
KABUPATEN SITUBONDO;5,6;5,1;0;0;4765,7
KABUPATEN BANYUWANGI;141,1;635,9;11;58,1;10809,4
KABUPATEN JEMBER;8,8;0;0;0;920,4
KABUPATEN LUMAJANG;0;0;0;0;715,7
KABUPATEN MALANG;0;0;0;0;2657
KABUPATEN BLITAR;0;0;0;0;494
KABUPATEN TULUNGAGUNG;0;0;0;0;275,4
KABUPATEN TRENGGALEK;0;0;0;0;0
KABUPATEN PACITAN;0;0;0;0;207,8
KABUPATEN MAGETAN;0;0;0;0;0
KABUPATEN PONOROGO;0;0;0;0;0
KABUPATEN NGAWI;0;0;0;0;0
KABUPATEN BOJONEGORO;0;0;0;0;0
KABUPATEN NGANJUK;0;0;0;0;0
KABUPATEN MADIUN;0;0;0;0;0
KOTA MADIUN;0;0;0;0;0
KABUPATEN JOMBANG;0;0;0;0;0
KABUPATEN KEDIRI;0;0;0;0;0
KOTA KEDIRI;0;0;0;0;0
KABUPATEN MOJOKERTO;0;0;0;0;0
KOTA MOJOKERTO;0;0;0;0;0
KOTA MALANG;0;0;0;0;0
KOTA BLITAR;0;0;0;0;0
KABUPATEN BONDOWOSO;0;0;0;0;0
KOTA BATU;0;0;0;0;0