X1;X2;X3;X4;X5;Y1
5091;4;79;17;3;100
19057;5;130;29;10;164
4373;0;66;14;3;80
87991;58;1572;147;10;1777
13594;19;325;49;3;393
20849;1;152;33;9;186
19479;3;249;27;3;279
24137;0;325;14;9;339
22538;0;161;31;3;192
8668;3;113;26;10;142
42334;0;233;19;10;252
5590;0;88;18;10;106
5133;0;90;14;10;104
4896;5;137;10;3;152
39941;2;577;20;5;599
19680;4;86;18;10;108
2981;2;40;12;3;54
111785;15;678;20;12;713
7509;4;54;17;3;75
2825;0;34;8;11;42
5066;3;66;12;3;81
2467;0;0;0;10;0
6853;0;16;2;10;18
4888;0;72;24;3;96
15294;3;99;19;10;121
15104;0;88;18;3;106
34143;10;412;72;11;494
4306;0;100;17;3;117
18264;36;523;63;3;622
61262;18;143;13;11;174
9390;33;107;22;2;162
2929;1;27;11;10;39
9578;2;155;47;3;204
5318;4;98;23;9;125
7149;2;56;17;3;75
7808;6;172;21;11;199
4628;0;96;17;3;113
28663;16;76;8;10;100
33058;11;227;31;9;269
6085;1;44;14;3;59
24198;7;216;39;11;262
28438;6;187;18;3;211
13989;7;26;3;10;36
4270;7;29;10;3;46
8387;0;47;11;11;58
13023;4;57;10;3;71
30612;4;174;36;11;214
3481;6;18;8;2;32
7329;0;77;15;11;92
3094;1;12;1;2;14
3155;1;48;9;9;58
40125;24;285;28;3;337
8899;9;202;31;9;242
5439;4;64;19;3;87
4462;4;66;13;10;83
31950;2;65;14;2;81
10465;2;164;54;11;220
4846;0;40;13;3;53
4372;3;76;11;10;90
84885;4;139;17;3;160
27951;8;101;14;11;123
164528;8;144;10;2;162
47358;10;179;13;10;202
81908;4;219;22;3;245
5234;2;60;7;10;69
6167;19;77;23;3;119
4120;0;48;7;11;55
93790;20;697;70;3;787
3891;0;53;17;11;70
5939;7;84;28;3;119
103050;7;146;9;10;162
220447;17;449;84;3;550
16362;3;226;44;11;273
46054;14;172;47;2;233
30235;2;99;13;11;114
68610;20;411;74;2;505
2392;0;0;0;2;0
59040;4;85;8;10;97
2774;0;56;8;3;64
8533;2;29;7;12;38
17827;2;86;13;3;101
11123;18;370;53;10;441
9193;5;190;57;3;252
5799;2;101;19;10;122
13092;2;99;16;2;117
5244;10;140;8;9;158
54779;2;130;31;3;163
7955;3;270;38;10;311
2838;3;30;6;3;39
6056;2;107;17;11;126
37240;13;331;77;3;421
4545;0;78;13;9;91
9303;9;301;32;3;342
4239;2;111;16;9;129
4943;2;124;22;4;148
5744;5;153;27;10;185
2548;3;51;11;3;65
5230;1;115;26;11;142
24917;7;310;61;3;378
21893;12;328;90;10;430
2453;0;0;0;9;0
104952;26;1505;95;3;1626
3174;2;63;14;10;79
2544;0;13;4;4;17
5472;4;59;9;11;72
111745;42;955;139;4;1136
7221;9;181;32;11;222
19556;17;193;28;4;238
4469;7;125;16;9;148
27468;4;217;50;3;271
3655;2;28;4;10;34
2158;0;;;8;0
4510;4;117;18;4;139
4070;2;79;16;3;97
2749;0;15;2;13;17
1568;0;4;2;12;6
57472;1;431;26;12;458
1374;0;7;0;11;7
1570;0;7;2;10;9
1573;0;6;2;10;8
1029;0;2;;9;2
30514;6;186;40;9;232
1096;1;1;2;8;4
1071;1;3;2;7;6
1285;0;7;;6;7
1240;0;7;2;5;9
6647;3;198;41;3;242
1443;0;9;1;13;10
1117;0;4;1;13;5
1510;0;3;0;12;3
1673;0;8;2;11;10
8239;0;7;3;9;10
1158;1;7;2;9;10
1331;0;11;1;8;12
1565;2;28;4;6;34
7659;0;56;12;2;68
9463;0;32;16;10;48
2427;4;32;3;8;39
17202;0;129;25;3;154
8617;4;77;19;10;100
229733;15;143;44;3;202
25666;2;227;36;10;265
59964;60;859;90;2;1009
39549;10;377;60;10;447
140432;3;41;9;3;53
11040;6;76;14;10;96
44940;0;189;15;3;204
3960;0;80;14;10;94
20691;3;148;28;4;179