,X1,X2,X3,X4,X5,Y1
0,5091,4,79.0,17.0,3,100
1,19057,5,130.0,29.0,10,164
2,4373,0,66.0,14.0,3,80
3,87991,58,1572.0,147.0,10,1777
4,13594,19,325.0,49.0,3,393
5,20849,1,152.0,33.0,9,186
6,19479,3,249.0,27.0,3,279
7,24137,0,325.0,14.0,9,339
8,22538,0,161.0,31.0,3,192
9,8668,3,113.0,26.0,10,142
10,42334,0,233.0,19.0,10,252
11,5590,0,88.0,18.0,10,106
12,5133,0,90.0,14.0,10,104
13,4896,5,137.0,10.0,3,152
14,39941,2,577.0,20.0,5,599
15,19680,4,86.0,18.0,10,108
16,2981,2,40.0,12.0,3,54
17,111785,15,678.0,20.0,12,713
18,7509,4,54.0,17.0,3,75
19,2825,0,34.0,8.0,11,42
20,5066,3,66.0,12.0,3,81
21,2467,0,0.0,0.0,10,0
22,6853,0,16.0,2.0,10,18
23,4888,0,72.0,24.0,3,96
24,15294,3,99.0,19.0,10,121
25,15104,0,88.0,18.0,3,106
26,34143,10,412.0,72.0,11,494
27,4306,0,100.0,17.0,3,117
28,18264,36,523.0,63.0,3,622
29,61262,18,143.0,13.0,11,174
30,9390,33,107.0,22.0,2,162
31,2929,1,27.0,11.0,10,39
32,9578,2,155.0,47.0,3,204
33,5318,4,98.0,23.0,9,125
34,7149,2,56.0,17.0,3,75
35,7808,6,172.0,21.0,11,199
36,4628,0,96.0,17.0,3,113
37,28663,16,76.0,8.0,10,100
38,33058,11,227.0,31.0,9,269
39,6085,1,44.0,14.0,3,59
40,24198,7,216.0,39.0,11,262
41,28438,6,187.0,18.0,3,211
42,13989,7,26.0,3.0,10,36
43,4270,7,29.0,10.0,3,46
44,8387,0,47.0,11.0,11,58
45,13023,4,57.0,10.0,3,71
46,30612,4,174.0,36.0,11,214
47,3481,6,18.0,8.0,2,32
48,7329,0,77.0,15.0,11,92
49,3094,1,12.0,1.0,2,14
50,3155,1,48.0,9.0,9,58
51,40125,24,285.0,28.0,3,337
52,8899,9,202.0,31.0,9,242
53,5439,4,64.0,19.0,3,87
54,4462,4,66.0,13.0,10,83
55,31950,2,65.0,14.0,2,81
56,10465,2,164.0,54.0,11,220
57,4846,0,40.0,13.0,3,53
58,4372,3,76.0,11.0,10,90
59,84885,4,139.0,17.0,3,160
60,27951,8,101.0,14.0,11,123
61,164528,8,144.0,10.0,2,162
62,47358,10,179.0,13.0,10,202
63,81908,4,219.0,22.0,3,245
64,5234,2,60.0,7.0,10,69
65,6167,19,77.0,23.0,3,119
66,4120,0,48.0,7.0,11,55
67,93790,20,697.0,70.0,3,787
68,3891,0,53.0,17.0,11,70
69,5939,7,84.0,28.0,3,119
70,103050,7,146.0,9.0,10,162
71,220447,17,449.0,84.0,3,550
72,16362,3,226.0,44.0,11,273
73,46054,14,172.0,47.0,2,233
74,30235,2,99.0,13.0,11,114
75,68610,20,411.0,74.0,2,505
76,2392,0,0.0,0.0,2,0
77,59040,4,85.0,8.0,10,97
78,2774,0,56.0,8.0,3,64
79,8533,2,29.0,7.0,12,38
80,17827,2,86.0,13.0,3,101
81,11123,18,370.0,53.0,10,441
82,9193,5,190.0,57.0,3,252
83,5799,2,101.0,19.0,10,122
84,13092,2,99.0,16.0,2,117
85,5244,10,140.0,8.0,9,158
86,54779,2,130.0,31.0,3,163
87,7955,3,270.0,38.0,10,311
88,2838,3,30.0,6.0,3,39
89,6056,2,107.0,17.0,11,126
90,37240,13,331.0,77.0,3,421
91,4545,0,78.0,13.0,9,91
92,9303,9,301.0,32.0,3,342
93,4239,2,111.0,16.0,9,129
94,4943,2,124.0,22.0,4,148
95,5744,5,153.0,27.0,10,185
96,2548,3,51.0,11.0,3,65
97,5230,1,115.0,26.0,11,142
98,24917,7,310.0,61.0,3,378
99,21893,12,328.0,90.0,10,430
100,2453,0,0.0,0.0,9,0
101,104952,26,1505.0,95.0,3,1626
102,3174,2,63.0,14.0,10,79
103,2544,0,13.0,4.0,4,17
104,5472,4,59.0,9.0,11,72
105,111745,42,955.0,139.0,4,1136
106,7221,9,181.0,32.0,11,222
107,19556,17,193.0,28.0,4,238
108,4469,7,125.0,16.0,9,148
109,27468,4,217.0,50.0,3,271
110,3655,2,28.0,4.0,10,34
111,2158,0,158.581081,23.541096,8,0
112,4510,4,117.0,18.0,4,139
113,4070,2,79.0,16.0,3,97
114,2749,0,15.0,2.0,13,17
115,1568,0,4.0,2.0,12,6
116,57472,1,431.0,26.0,12,458
117,1374,0,7.0,0.0,11,7
118,1570,0,7.0,2.0,10,9
119,1573,0,6.0,2.0,10,8
120,1029,0,2.0,23.541096,9,2
121,30514,6,186.0,40.0,9,232
122,1096,1,1.0,2.0,8,4
123,1071,1,3.0,2.0,7,6
124,1285,0,7.0,23.541096,6,7
125,1240,0,7.0,2.0,5,9
126,6647,3,198.0,41.0,3,242
127,1443,0,9.0,1.0,13,10
128,1117,0,4.0,1.0,13,5
129,1510,0,3.0,0.0,12,3
130,1673,0,8.0,2.0,11,10
131,8239,0,7.0,3.0,9,10
132,1158,1,7.0,2.0,9,10
133,1331,0,11.0,1.0,8,12
134,1565,2,28.0,4.0,6,34
135,7659,0,56.0,12.0,2,68
136,9463,0,32.0,16.0,10,48
137,2427,4,32.0,3.0,8,39
138,17202,0,129.0,25.0,3,154
139,8617,4,77.0,19.0,10,100
140,229733,15,143.0,44.0,3,202
141,25666,2,227.0,36.0,10,265
142,59964,60,859.0,90.0,2,1009
143,39549,10,377.0,60.0,10,447
144,140432,3,41.0,9.0,3,53
145,11040,6,76.0,14.0,10,96
146,44940,0,189.0,15.0,3,204
147,3960,0,80.0,14.0,10,94
148,20691,3,148.0,28.0,4,179
